Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year_x,Severity_Label,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Urban_or_Rural_Area,Year_y
200642I389609,56 - 65,,Urban area,9.0,,,,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,TOYOTA,HILUX 280 VX MWB,,Male,Overturned,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Van / Goods 3.5 tonnes mgw or under,No,Nearside,2006.0,Slight,Fine no high winds,Dry,Daylight,30.0,Urban,2006.0
2004214229988,46 - 55,8.0,Rural,6.0,,,,Data missing or out of range,Data missing or out of range,MAN,,Heavy oil,Male,,Articulated vehicle,Did not leave carriageway,0.0,Overtaking static vehicle - offside,2.0,Goods over 3.5t. and under 7.5t,Data missing or out of range,Front,2004.0,,,,,,,
200806N090915,36 - 45,,Urban area,4.0,1397.0,,,Commuting to/from work,Approaching junction or waiting/parked at junction approach,PEUGEOT,308 S,Petrol,Male,,No tow/articulation,Nearside,0.0,Turning left,2.0,Car,No,Offside,2008.0,Slight,Fine no high winds,Dry,Daylight,30.0,Urban,2008.0
200801LX50367,36 - 45,8.0,Urban area,4.0,,,,Journey as part of work,Cleared junction or waiting/parked at junction exit,VOLVO,,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Changing lane to left,1.0,Bus or coach (17 or more pass seats),No,Nearside,2008.0,Slight,Fine no high winds,Dry,Daylight,30.0,Urban,2008.0
200730A000242,26 - 35,5.0,Small town,8.0,900.0,,,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,HONDA,,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle over 500cc,No,Front,2007.0,Slight,Fine no high winds,Dry,Daylight,70.0,Rural,2007.0
200604EL06010,26 - 35,,Small town,2.0,1248.0,Kerb,,Journey as part of work,Not at or within 20 metres of junction,FIAT,DOBLO CARGO MULTIJET 16V,Heavy oil,Male,Skidded,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Van / Goods 3.5 tonnes mgw or under,No,Front,2006.0,Slight,Fine no high winds,Wet or damp,Daylight,30.0,Urban,2006.0
200701ZT64033,21 - 25,5.0,Urban area,10.0,998.0,,,Other/Not known (2005-10),Not at or within 20 metres of junction,TOYOTA,,Petrol,Female,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2007.0,Slight,Raining no high winds,Wet or damp,Daylight,30.0,Urban,2007.0
2005130795205,16 - 20,,Urban area,7.0,,,,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,VESPA (DOUGLAS),,,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Front,2005.0,Serious,Fine no high winds,Dry,Daylight,40.0,Urban,2005.0
200620L138001,26 - 35,1.0,Urban area,1.0,1493.0,,,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SMART,FORFOUR PULSE CDI 68,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Turning right,1.0,Car,No,Front,2006.0,Slight,Fine no high winds,Dry,Daylight,30.0,Urban,2006.0
2007130034407,56 - 65,3.0,Urban area,3.0,1998.0,,,Journey as part of work,Approaching junction or waiting/parked at junction approach,RENAULT,MEGANE PRIVILEGE VVT 136,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead left-hand bend,2.0,Car,No,Back,2007.0,Slight,Raining + high winds,Wet or damp,Daylight,30.0,Rural,2007.0
200401QA00307,36 - 45,3.0,Urban area,5.0,7300.0,,,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Bus or coach (17 or more pass seats),Data missing or out of range,Offside,2004.0,,,,,,,
200563AC47405,26 - 35,3.0,Rural,,11705.0,,,Journey as part of work,Not at or within 20 metres of junction,SCANIA,,Heavy oil,Male,,Articulated vehicle,Did not leave carriageway,0.0,Going ahead left-hand bend,2.0,Goods 7.5 tonnes mgw and over,No,Front,2005.0,Slight,Fine no high winds,Dry,Daylight,60.0,Rural,2005.0
2006620160684,21 - 25,2.0,Data missing or out of range,,1242.0,,,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,FIAT,PANDA DYNAMIC,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Offside,2006.0,Serious,Fine no high winds,Dry,Daylight,40.0,Urban,2006.0
2007100702307,36 - 45,2.0,Urban area,2.0,1781.0,,,Other/Not known (2005-10),Entering roundabout,AUDI,TT TURBO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2007.0,Slight,Fine no high winds,Dry,Daylight,60.0,Rural,2007.0
200432C162204,36 - 45,7.0,Data missing or out of range,,1389.0,,,Data missing or out of range,Data missing or out of range,VAUXHALL,ASTRA MERIT,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Turning right,2.0,109,Data missing or out of range,Offside,2004.0,,,,,,,
200643N105056,16 - 20,1.0,Urban area,8.0,1124.0,,,Other/Not known (2005-10),Entering main road,PEUGEOT,206 SPORT,Petrol,Female,Overturned,No tow/articulation,Did not leave carriageway,0.0,Reversing,1.0,Car,No,Nearside,2006.0,Slight,Fine no high winds,Dry,Daylight,30.0,Urban,2006.0
200622EA85136,26 - 35,6.0,Rural,5.0,1998.0,,,Commuting to/from work,Entering main road,RENAULT,,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Moving off,1.0,Car,No,Offside,2006.0,Slight,Raining no high winds,Wet or damp,Daylight,30.0,Urban,2006.0
200632C205406,Data missing or out of range,7.0,Rural,5.0,3199.0,,,Other/Not known (2005-10),Entering roundabout,MERCEDES,CLK 320 SPORT AUTO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,2.0,Car,No,Front,2006.0,Slight,Fine no high winds,Dry,Daylight,60.0,Rural,2006.0
2006460122750,16 - 20,9.0,Urban area,4.0,1120.0,,Other permanent object,Other/Not known (2005-10),Not at or within 20 metres of junction,ROVER,100 ASCOT,Petrol,Female,Skidded,No tow/articulation,Offside and rebounded,0.0,Parked,2.0,Car,No,Front,2006.0,Slight,Fine no high winds,Frost or ice,Darkness - no lighting,60.0,Rural,2006.0
200404D067204,26 - 35,,Rural,10.0,1995.0,,,Data missing or out of range,Data missing or out of range,BMW,320 CD SPORT,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,3.0,109,Data missing or out of range,Front,2004.0,,,,,,,
